Date : 2023-02-20 20:26:17
Directory : g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts
Total : 72 files,  1854 codes, 305 comments, 374 blanks, all 2533 lines

Languages
+----------------------------------------+------------+------------+------------+------------+------------+
| language                               | files      | code       | comment    | blank      | total      |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ButtonPress\scr_ButtonPress.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ClientPacket\scr_ClientPacket.gml                   | GameMaker Language(GameMaker Studio 2) |        301 |         67 |         91 |        459 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ClientPacket\scr_ClientPacket.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_CreateBigBullet\scr_CreateBigBullet.gml             | GameMaker Language(GameMaker Studio 2) |         11 |          3 |          1 |         15 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_CreateBigBullet\scr_CreateBigBullet.yy              | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_CreateBigBullet\scr_CreateBullet.yy                 | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_CreateBullet\scr_CreateBullet.gml                   | GameMaker Language(GameMaker Studio 2) |         18 |          3 |          3 |         24 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_CreateBullet\scr_CreateBullet.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Death\scr_Death.gml                                 | GameMaker Language(GameMaker Studio 2) |         87 |         12 |         21 |        120 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Death\scr_Death.yy                                  | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_EventCleanup\scr_EventCleanup.gml                   | GameMaker Language(GameMaker Studio 2) |         15 |          1 |          4 |         20 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_EventCleanup\scr_EventCleanup.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_EventCreate\scr_EventCreate.gml                     | GameMaker Language(GameMaker Studio 2) |         12 |          2 |          1 |         15 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_EventCreate\scr_EventCreate.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_FocusLayer\scr_FocusLayer.gml                       | GameMaker Language(GameMaker Studio 2) |         12 |          4 |          5 |         21 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_FocusLayer\scr_FocusLayer.yy                        | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GUIScripts\scr_GUIScripts.gml                       | GameMaker Language(GameMaker Studio 2) |         13 |          0 |          2 |         15 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GUIScripts\scr_GUIScripts.yy                        | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GenerateAmmoPack\scr_GenerateAmmoPack.gml           | GameMaker Language(GameMaker Studio 2) |          4 |          0 |          0 |          4 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GenerateAmmoPack\scr_GenerateAmmoPack.yy            | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetColour\scr_GetColour.gml                         | GameMaker Language(GameMaker Studio 2) |          8 |          1 |          0 |          9 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetColour\scr_GetColour.yy                          | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetSecondaryObject\scr_GetSecondary.yy              | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetSecondaryObject\scr_GetSecondaryObject.gml       | GameMaker Language(GameMaker Studio 2) |         30 |          1 |          1 |         32 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetSecondaryObject\scr_GetSecondaryObject.yy        | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetSecondary\scr_GetSecondary.gml                   | GameMaker Language(GameMaker Studio 2) |         30 |          1 |          1 |         32 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GetSecondary\scr_GetSecondary.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GlobalReset\scr_GlobalReset.gml                     | GameMaker Language(GameMaker Studio 2) |          9 |          5 |          0 |         14 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_GlobalReset\scr_GlobalReset.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_HomingBullet\scr_HomingBullet.gml                   | GameMaker Language(GameMaker Studio 2) |         10 |          3 |          1 |         14 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_HomingBullet\scr_HomingBullet.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ObjectCollision\scr_ObjectCollision.gml             | GameMaker Language(GameMaker Studio 2) |         35 |         13 |         10 |         58 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ObjectCollision\scr_ObjectCollision.yy              | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ObjectMeeting\scr_ObjectMeeting.gml                 | GameMaker Language(GameMaker Studio 2) |          9 |          4 |          3 |         16 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ObjectMeeting\scr_ObjectMeeting.yy                  | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ParticleTypes\scr_ParticleTypes.gml                 | GameMaker Language(GameMaker Studio 2) |         68 |          5 |         14 |         87 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ParticleTypes\scr_ParticleTypes.yy                  | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_PlayerChildrenCleanup\scr_PlayerChildrenCleanup.gml | GameMaker Language(GameMaker Studio 2) |         32 |          2 |          0 |         34 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_PlayerChildrenCleanup\scr_PlayerChildrenCleanup.yy  | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_PlayerReset\scr_PlayerReset.gml                     | GameMaker Language(GameMaker Studio 2) |         18 |          1 |          1 |         20 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_PlayerReset\scr_PlayerReset.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_RotatePoint\scr_RotatePoint.gml                     | GameMaker Language(GameMaker Studio 2) |          9 |          5 |          5 |         19 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_RotatePoint\scr_RotatePoint.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_SaveLoad\scr_SaveLoad.gml                           | GameMaker Language(GameMaker Studio 2) |         21 |          6 |          8 |         35 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_SaveLoad\scr_SaveLoad.yy                            | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Secondaries\scr_Secondaries.gml                     | GameMaker Language(GameMaker Studio 2) |         26 |         11 |          8 |         45 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_Secondaries\scr_Secondaries.yy                      | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ServerPacket\scr_ServerPacket.gml                   | GameMaker Language(GameMaker Studio 2) |        291 |         58 |        104 |        453 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_ServerPacket\scr_ServerPacket.yy                    | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_StartEvent\scr_StartEvent.gml                       | GameMaker Language(GameMaker Studio 2) |         35 |          3 |          2 |         40 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_StartEvent\scr_StartEvent.yy                        | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_TextEntry\scr_TextEntry.gml                         | GameMaker Language(GameMaker Studio 2) |         29 |          8 |          5 |         42 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_TextEntry\scr_TextEntry.yy                          | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_WallCollision\scr_WallCollision.gml                 | GameMaker Language(GameMaker Studio 2) |         42 |         15 |          4 |         61 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\scr_WallCollision\scr_WallCollision.yy                  | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\sqLogo_Events\sqLogo_Events.gml                         | GameMaker Language(GameMaker Studio 2) |         14 |          1 |          7 |         22 |
| g:\All files\Programming\My Games\GameMaker Studio\Planetbattles\scripts\sqLogo_Events\sqLogo_Events.yy                          | GameMaker Studio 2 YY Config           |         12 |          0 |          0 |         12 |
| Total                                                                                                                            |                                        |      1,854 |        305 |        374 |      2,533 |
+----------------------------------------------------------------------------------------------------------------------------------+----------------------------------------+------------+------------+------------+------------+
